rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,🌟🌟𝙍𝙚𝙛𝙡𝙚𝙭𝙞𝙤𝙣 𝘿𝙞𝙖𝙧𝙞𝙖🌟🌟 @reflexion.diaria,2.7M,0.7%,رومانيا,تعليم الحياة والمجتمع,803.7K,instagram,romania,False,2024,Knowledge&Info,MAPPED,Teaching life and society
2,Dorian Popa @eusuntdorian,2.4M,0.41%,رومانيا,الأزياء والإكسسوارات,735K,instagram,romania,False,2024,Beauty&Fashion,MAPPED,Fashion and accessories
3,Alina Eremia @alinaeremia,2.1M,0.39%,رومانيا,فن,620K,instagram,romania,False,2024,Lifestyle,MAPPED,Art
4,𝐆𝐚𝐛𝐫𝐢𝐞𝐥 𝐑𝐨𝐥𝐨́𝐧 @gabriel.rolon,1.9M,0.43%,رومانيا,تعليم السيارات ممثلين,568.8K,instagram,romania,False,2024,Knowledge&Info,MAPPED,Car education representatives
5,Loredana Chivu ♠️ @loredanachivu_official,1.9M,0.32%,رومانيا,الأزياء والإكسسوارات الفنون والحرف اليدوية الترفيه والموسيقى تمثيل,563.5K,instagram,romania,False,2024,Beauty&Fashion,MAPPED,Fashion and accessories arts and crafts entertainment and music acting
6,Adelina Pestritu @adelina.pestritu,1.8M,0.42%,رومانيا,الأزياء والإكسسوارات الترفيه والموسيقى مشاهير,554.9K,instagram,romania,False,2024,Beauty&Fashion,MAPPED,Fashion accessories entertainment music celebrities
7,Investing | Motivation | Technology @investearnsave,1.8M,0.19%,رومانيا,الأعمال والتمويل التمويل الشخصي,526K,instagram,romania,False,2024,Knowledge&Info,MAPPED,Business and Finance Personal Finance
8,Simona Halep @simonahalep,1.7M,0.64%,رومانيا,رياضة تنس تمثيل,516K,instagram,romania,False,2024,Sports,MAPPED,Acting tennis
9,Andreea Balan @andreeabalanofficial,1.7M,0.41%,رومانيا,الترفيه والموسيقى الأسرة موسيقى,501.6K,instagram,romania,False,2024,Music,MAPPED,Entertainment Music Family Music
10,Mihai Bendeac @jurnalul_unui_burlac,1.4M,1.42%,رومانيا,فن,431.5K,instagram,romania,False,2024,Lifestyle,MAPPED,Art
