rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,Unaa🍜 @mieayamthebstt,14.4M,-,Индонезия,Игри,4.3M,tiktok,indonesia,False,2024,Tech&Gaming,MAPPED,Games
2,DamnBoy⚫️🔓 @razor.fathanah,13M,-,Индонезия,Забавление и музика Careers,3.9M,tiktok,indonesia,False,2024,Music,MAPPED,Entertainment and Music Careers
3,VILMEI✨ @vilmeijuga,11.4M,0.2%,Индонезия,Храна,3.4M,tiktok,indonesia,False,2024,Lifestyle,MAPPED,Food
4,Dewi perssik @dewiperssik_real,10M,-,Индонезия,Забавление и музика,3M,tiktok,indonesia,False,2024,Music,MAPPED,Fun and music
5,Trisha Zia @trishaaazia,9M,1.1%,Индонезия,Красота и грижа за себе си,2.7M,tiktok,indonesia,False,2024,Beauty&Fashion,MAPPED,Beauty and self care
6,Baim Wong @baimwong,8.2M,-,Индонезия,Актьорство и драма Забавление и музика,2.5M,tiktok,indonesia,False,2024,Music,MAPPED,Acting and Drama Entertainment and Music
7,EdW!!Nn🦇 @edw1n_98,8M,-,Индонезия,Забавление и музика,2.4M,tiktok,indonesia,False,2024,Music,MAPPED,Fun and music
8,Valenrewah @valenrewah,7.7M,-,Индонезия,,2.3M,tiktok,indonesia,False,2024,NA,NA,
9,prilly latuconsina @prillylatuconsina15,7.2M,-,Индонезия,Забавление и музика,2.2M,tiktok,indonesia,False,2024,Music,MAPPED,Fun and music
10,Heiraks @heiraksyt,6.5M,-,Индонезия,,2M,tiktok,indonesia,False,2024,NA,NA,
11,Vilia Carl @viliacarl,6.4M,2.1%,Индонезия,,1.9M,tiktok,indonesia,False,2024,NA,NA,
12,BIGO: Riri.c @ririiii.26.on.ig,6.3M,-,Индонезия,Забавление и музика,1.9M,tiktok,indonesia,False,2024,Music,MAPPED,Fun and music
13,Follow ig : @ismindyh_ @tanteismi,5.9M,-,Индонезия,,1.8M,tiktok,indonesia,False,2024,NA,NA,
14,Lazada Indonesia @lazadaid,5.6M,-,Индонезия,,1.7M,tiktok,indonesia,False,2024,NA,NA,
15,Madam Sonia @madamsoniia,5.5M,0.9%,Индонезия,Красота и грижа за себе си,1.7M,tiktok,indonesia,False,2024,Beauty&Fashion,MAPPED,Beauty and self care
16,Jess No Limit @jessnolimit999,5.3M,0.1%,Индонезия,,1.6M,tiktok,indonesia,False,2024,NA,NA,
17,fhia @alifhiaf,5.2M,-,Индонезия,,1.6M,tiktok,indonesia,False,2024,NA,NA,
18,Syahnaz Sadiqah @syahnazsadiqah,5.1M,-,Индонезия,,1.5M,tiktok,indonesia,False,2024,NA,NA,
19,Jervan Jervan @jervanjervan,5M,-,Индонезия,Забавление и музика,1.5M,tiktok,indonesia,False,2024,Music,MAPPED,Fun and music
20,RADAR SUMEDANG @radarsumedang,5M,-,Индонезия,Забавление и музика,1.5M,tiktok,indonesia,False,2024,Music,MAPPED,Fun and music
21,Vinny Laurencia @kulinersamacici,4.7M,-,Индонезия,,1.4M,tiktok,indonesia,False,2024,NA,NA,
