rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,32900000.0,,Reino Unido,Música,9900000.0,youtube,united-kingdom,False,2024,Music,MAPPED,Music
2,DanTDM @UCS5Oz6CHmeoF7vSad0qqXfw,26300000.0,,Reino Unido,,7900000.0,youtube,united-kingdom,False,2024,,,
3,KSI @UCVtFOytbRpEvzLjvqGG5gxQ,24000000.0,,Reino Unido,,7200000.0,youtube,united-kingdom,False,2024,,,
4,Mister Max @UC_8PAD0Qmi6_gpe77S1Atgg,23000000.0,0.1,Reino Unido,,6900000.0,youtube,united-kingdom,False,2024,,,
5,Jelly @UC0DZmkupLYwc0yDsfocLh0A,22900000.0,,Reino Unido,,6900000.0,youtube,united-kingdom,False,2024,,,
6,Miss Katy @UCcartHVtvAUzfajflyeT_Gg,22600000.0,,Reino Unido,,6800000.0,youtube,united-kingdom,False,2024,,,
7,Dua Lipa @UC-J-KZfRV8c13fOCkhXdLiQ,21100000.0,,Reino Unido,,6300000.0,youtube,united-kingdom,False,2024,,,
8,Dan Rhodes @UC6D1L2vxEAg_Vi0JSxMBDgA,17700000.0,0.3,Reino Unido,,5300000.0,youtube,united-kingdom,False,2024,,,
9,Ali-A @UCYVinkwSX7szARULgYpvhLw,17700000.0,,Reino Unido,,5300000.0,youtube,united-kingdom,False,2024,,,
10,Gaby and Alex @UCHwBjRoGO1V-H8QYXjSVHkQ,17000000.0,,Reino Unido,,5100000.0,youtube,united-kingdom,False,2024,,,
11,Sidemen @sidemen,17000000.0,2.8,Reino Unido,,5100000.0,youtube,united-kingdom,False,2024,,,
12,Queen Official @UCiMhD4jzUqG-IgPzUmmytRQ,16300000.0,,Reino Unido,,4900000.0,youtube,united-kingdom,False,2024,,,
13,Little Mix @UCIvqWqjC4aLvp7zI8hzARrA,16100000.000000002,,Reino Unido,,4800000.0,youtube,united-kingdom,False,2024,,,
14,JJ Olatunji @UCGmnsW623G1r-Chmo5RB4Yw,15900000.0,,Reino Unido,,4800000.0,youtube,united-kingdom,False,2024,,,
15,F2Freestylers - Ultimate Soccer Skills Channel @UCKvn9VBLAiLiYL4FFJHri6g,14000000.0,0.2,Reino Unido,Celebridad,4200000.0,youtube,united-kingdom,False,2024,Entertainment,MAPPED,Celebrity
16,BBC News @UC16niRr50-MSBwiO3YDb3RA,13300000.0,,Reino Unido,,4000000.0,youtube,united-kingdom,False,2024,,,
17,BBC @UCCj956IF62FbT7Gouszaj9w,12900000.0,,Reino Unido,,3900000.0,youtube,united-kingdom,False,2024,,,
18,Awakening Music @UCBq5hp6DvwWam2XOXw6lYJA,12400000.0,,संयुक्त अधिराज्य,सङ्गीत,3700000.0,youtube,united-kingdom,False,2024,Music,MAPPED,Music
19,DisneyChannelUK @UCLeuoGy_hUDTBf5Hk0ynrpQ,12300000.0,,संयुक्त अधिराज्य,,3700000.0,youtube,united-kingdom,False,2024,,,
20,colinfurze @UCp68_FLety0O-n9QU6phsgw,11900000.0,0.6,संयुक्त अधिराज्य,,3600000.0,youtube,united-kingdom,False,2024,,,
21,Mrwhosetheboss @UCMiJRAwDNSNzuYeN2uWa0pA,11800000.0,1.9,संयुक्त अधिराज्य,,3500000.0,youtube,united-kingdom,False,2024,,,
22,TommyInnit @UC5p_l5ZeB_wGjO_yDXwiqvw,11700000.0,,संयुक्त अधिराज्य,,3500000.0,youtube,united-kingdom,False,2024,,,
23,Morgz @UCBwSufNse8VMBvQM_rCSvgQ,11600000.0,0.1,संयुक्त अधिराज्य,,3500000.0,youtube,united-kingdom,False,2024,,,
24,Tiana @UC6sSkkemzPjmrzS0Y0V_2zw,11400000.0,,संयुक्त अधिराज्य,,3400000.0,youtube,united-kingdom,False,2024,,,
25,DisneyJuniorUK @UC7Gf2tZ8coTX2ckTPgn62iQ,11200000.0,,संयुक्त अधिराज्य,,3400000.0,youtube,united-kingdom,False,2024,,,
26,Emily Tube @UC-0D1RlSzcvBoODCKSoLl2g,11000000.0,,संयुक्त अधिराज्य,,3300000.0,youtube,united-kingdom,False,2024,,,
27,Slogo @UCHdMK5Ef2El8KbD3L_WgANg,10900000.0,,संयुक्त अधिराज्य,,3300000.0,youtube,united-kingdom,False,2024,,,
28,Jessie J @UC4pEp0mo54WhEBCTYvjVDJA,10400000.0,,संयुक्त अधिराज्य,,3100000.0,youtube,united-kingdom,False,2024,,,
29,Sing King @UCwTRjvjVge51X-ILJ4i22ew,10200000.0,,संयुक्त अधिराज्य,,3100000.0,youtube,united-kingdom,False,2024,,,
30,BBC News عربي @UCelk6aHijZq-GJBBB9YpReA,10100000.0,,संयुक्त अधिराज्य,,3000000.0,youtube,united-kingdom,False,2024,,,
31,Classic Mr Bean @UCEwIUtFBhaI2L2PuKv0KL2g,9900000.0,,संयुक्त अधिराज्य,,3000000.0,youtube,united-kingdom,False,2024,,,
32,Syndicate @UC1ieoHqKW-yYgDhLHIcx28w,9700000.0,,संयुक्त अधिराज्य,,2900000.0,youtube,united-kingdom,False,2024,,,
33,Gorillaz @UCfIXdjDQH9Fau7y99_Orpjw,9400000.0,0.1,संयुक्त अधिराज्य,,2800000.0,youtube,united-kingdom,False,2024,,,
34,Woody & Kleiny @UCoGForHQAmk0_9rI9CABeYw,9400000.0,1.1,संयुक्त अधिराज्य,,2800000.0,youtube,united-kingdom,False,2024,,,
35,Jungle Beat @UChUHOEe7zgYmrv7a_LlpNng,9300000.0,,संयुक्त अधिराज्य,यात्रा,2800000.0,youtube,united-kingdom,False,2024,Lifestyle,MAPPED,Travel
