rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status,topic_of_influence_en
1,Neymar Jr @neymarjr,220.1M,-,برزیل,ورزش فوتبال ورزشکار,66M,instagram,brazil,False,2024,Sports,MAPPED,Sports athlete football
2,Ronaldo de Assis Moreira @ronaldinho,75.8M,0.35%,برزیل,ورزش اتومبیل فوتبال,22.7M,instagram,brazil,False,2024,Sports,MAPPED,Football car sports
3,Shawn Mendes @shawnmendes,73M,0.03%,برزیل,موسیقی خواننده ترانه سرا موسیقی دان,21.9M,instagram,brazil,False,2024,Music,MAPPED,Music singer songwriter musician
4,Marcelo Vieira @marcelotwelve,67.6M,0.49%,برزیل,ورزش فوتبال,20.3M,instagram,brazil,False,2024,Sports,MAPPED,Football sport
5,Anitta 🎤 @anitta,65.1M,0.6%,برزیل,هنر سرگرمی و موسیقی موسیقی خواننده,19.5M,instagram,brazil,False,2024,Music,MAPPED,Entertainment art and singer's music
6,Whindersson Nunes @whinderssonnunes,59.7M,1.02%,برزیل,سرگرمی و موسیقی بسیار خنده دار مشهور کمدی,17.9M,instagram,brazil,False,2024,Music,MAPPED,Fun and very funny music famous comedy
7,Tata Werneck @tatawerneck,57.2M,0.02%,برزیل,سرگرمی و موسیقی بازیگران هنرمند,17.2M,instagram,brazil,False,2024,Music,MAPPED,Entertainment and music of artist actors
8,Larissa Manoela @larissamanoela,54.3M,0.21%,برزیل,هنر بازیگری و درام مد و لوازم جانبی سرگرمی و موسیقی,16.3M,instagram,brazil,False,2024,Beauty&Fashion,MAPPED,Acting art and fashion drama and entertainment and music accessories
9,+A @maisa,48.4M,0.21%,برزیل,بازیگری و درام موسیقی خواننده,14.5M,instagram,brazil,False,2024,Music,MAPPED,Acting and music drama singer
10,Bruna Marquezine @brunamarquezine,45.2M,0.04%,برزیل,هنر زیبایی و مراقبت از خود مد و لوازم جانبی هنرهای تجربی,13.6M,instagram,brazil,False,2024,Beauty&Fashion,MAPPED,Beauty art and self care fashion and accessories experimental arts
11,Gusttavo Lima @gusttavolima,44.6M,0.15%,برزیل,سرگرمی و موسیقی عشق و ازدواج خواننده,13.4M,instagram,brazil,False,2024,Music,MAPPED,Entertainment and music of love and marriage singer
12,Vinicius Jr. ⚡️🇧🇷 @vinijr,43.5M,5.32%,برزیل,ورزش فوتبال,13.1M,instagram,brazil,False,2024,Sports,MAPPED,Football sport
13,Marina Ruy Barbosa @marinaruybarbosa,42.3M,0.09%,برزیل,بازیگری و درام مد و لوازم جانبی مشهور بازیگران,12.7M,instagram,brazil,False,2024,Beauty&Fashion,MAPPED,Acting and drama fashion and accessories of famous actors
