rank,name_youtube,handle_youtube,audience_country,followers,category_1,views_avg,likes_avg,comments_avg,category_2,category_unified,category_status,_platform,_month,_year
205,The Chainsmokers,THECHAINSMOKERS,United States,22300000.0,Humor,34800.0,1700.0,47.0,,Entertainment,MAPPED,youtube,september,2022
206,Technical Guruji,Technical Guruji,India,22300000.0,,178400.0,10500.0,1200.0,,,,youtube,september,2022
207,GMM GRAMMY OFFICIAL,gmmgrammyofficial,Thailand,22300000.0,Music & Dance,3800.0,72.0,3.0,,Music,MAPPED,youtube,september,2022
208,Venus Movies,VenusMovies,India,22200000.0,,143600.0,1200.0,29.0,,,,youtube,september,2022
209,Smile Family,Smile Family,,22100000.0,Movies,78400.0,719.0,0.0,Toys,Entertainment,MAPPED,youtube,september,2022
210,mmoshaya,mmoshaya,Saudi Arabia,22100000.0,,2000000.0,33100.0,2200.0,,,,youtube,september,2022
211,America's Got Talent,AmericasGotTalent,United States,21900000.0,Music & Dance,263300.0,4200.0,246.0,Movies,Music,MAPPED,youtube,september,2022
212,White Hill Music,WHBBP,India,21900000.0,Music & Dance,22700.0,1700.0,54.0,,Music,MAPPED,youtube,september,2022
213,Paulo Londra,Paulo Londra,Argentina,21900000.0,Music & Dance,12500000.0,682900.0,24700.0,,Music,MAPPED,youtube,september,2022
214,Diana and Roma ARA,Diana and Roma ARA,,21900000.0,,1200000.0,8200.0,0.0,,,,youtube,september,2022
215,TED,TEDtalksDirector,United States,21900000.0,,47500.0,1300.0,162.0,,,,youtube,september,2022
216,Goldmines Movies,goldmineshindi,India,21700000.0,,9000.0,81.0,5.0,,,,youtube,september,2022
217,FaZe Rug,oRugrat,United States,21700000.0,Video games,4099999.9999999995,106200.0,7300.0,Humor,Tech&Gaming,MAPPED,youtube,september,2022
218,Peppa Pig Español Latino - Canal Oficial,PeppaLatinoAmericano,,21600000.0,Toys,624900.0,3200.0,0.0,,Lifestyle,MAPPED,youtube,september,2022
219,Pen Movies,PenIndiaPvtLimited,India,21600000.0,Movies,56000.0,2500.0,79.0,Animation,Entertainment,MAPPED,youtube,september,2022
220,Enaldinho,TheEnaldinhO,Brazil,21600000.0,Movies,816100.0,43800.0,656.0,,Entertainment,MAPPED,youtube,september,2022
221,BabyBus - Canciones Infantiles & Cuentos,BabyBus - Canciones Infantiles & Cuentos,,21400000.0,Movies,478200.0,2300.0,0.0,Animation,Entertainment,MAPPED,youtube,september,2022
222,MrBeast en Español,MrBeast en Español,Mexico,21200000.0,,7100000.0,265600.0,10100.0,,,,youtube,september,2022
223,Like Nastya PRT,Like Nastya PRT,,21200000.0,,365600.0,2200.0,0.0,,,,youtube,september,2022
224,Juan De Dios Pantoja,Juan De Dios Pantoja,Mexico,21200000.0,Daily vlogs,4600000.0,237300.0,4400.0,,Lifestyle,MAPPED,youtube,september,2022
225,SSundee,SSundee,United States,21100000.0,Video games,1700000.0,95100.0,3700.0,,Tech&Gaming,MAPPED,youtube,september,2022
226,Brent Rivera,Brent Rivera,United States,21100000.0,Video games,5000000.0,201900.0,13100.0,Humor,Tech&Gaming,MAPPED,youtube,september,2022
227,Tasty,Tasty,United States,21100000.0,Food & Drinks,112800.0,4300.0,64.0,,Lifestyle,MAPPED,youtube,september,2022
228,FGTeeV,FGTeeV,United States,21100000.0,Animation,1300000.0,18500.0,2000.0,Video games,Entertainment,MAPPED,youtube,september,2022
229,Preston,PrestonPlayz,United States,21000000.0,Animation,1400000.0,53200.0,521.0,Video games,Entertainment,MAPPED,youtube,september,2022
230,Charlie Puth,CharliesVlogs,United States,21000000.0,Music & Dance,615300.0,59800.0,2200.0,,Music,MAPPED,youtube,september,2022
231,5-Minute Crafts DIY,5-Minute Crafts DIY,India,20900000.0,Music & Dance,18300.0,303.0,9.0,Humor,Music,MAPPED,youtube,september,2022
232,D Billions,D Billions,,20900000.0,,1000000.0,1200.0,0.0,,,,youtube,september,2022
233,Baim Paula,Baim Paula,Indonesia,20900000.0,Music & Dance,642400.0,27100.0,2100.0,Movies,Music,MAPPED,youtube,september,2022
234,Goldmines Cineplex,Goldmines Cineplex,India,20800000.0,,6400.0,84.0,3.0,,,,youtube,september,2022
235,Canal Canalha,CanalCanalha,Brazil,20700000.0,Sports,1200000.0,146900.0,4100.0,,Sports,MAPPED,youtube,september,2022
236,Kids TV - Nursery Rhymes And Baby Songs,Kids TV - Nursery Rhymes And Baby Songs,,20700000.0,Toys,122400.0,379.0,0.0,,Lifestyle,MAPPED,youtube,september,2022
237,National Geographic,NationalGeographic,United States,20500000.0,,40300.0,1600.0,57.0,,,,youtube,september,2022
238,Disney Latinoamérica,DisneyChannelLA,,20500000.0,,22100.0,129.0,0.0,,,,youtube,september,2022
239,Brave Wilderness,Brave Wilderness,United States,20500000.0,,1600000.0,32200.000000000004,3100.0,,,,youtube,september,2022
240,Family GamesTV,Family GamesTV,,20500000.0,,9600.0,0.0,0.0,,,,youtube,september,2022
241,StarPlus,starplus,India,20500000.0,,260899.99999999997,5600.0,69.0,,,,youtube,september,2022
242,Ultra Movie Parlour,UltraMovieParlour,India,20300000.0,,40700.0,910.0,15.0,,,,youtube,september,2022
243,BuzzFeedVideo,BuzzFeedVideo,United States,20300000.0,Food & Drinks,33100.0,824.0,23.0,,Lifestyle,MAPPED,youtube,september,2022
244,AuthenticGames,AuthenticGames,Brazil,20200000.0,Movies,26400.0,2000.0,114.0,Video games,Entertainment,MAPPED,youtube,september,2022
245,Rotana,RotanaAudio,Saudi Arabia,20100000.0,Music & Dance,153800.0,7200.0,172.0,,Music,MAPPED,youtube,september,2022
246,LazarBeam,LazarBeam,United States,20100000.0,Animation,0.0,0.0,0.0,Video games,Entertainment,MAPPED,youtube,september,2022
247,shfa show India,shfa show India,,20100000.0,Daily vlogs,1200000.0,9400.0,0.0,,Lifestyle,MAPPED,youtube,september,2022
248,SlivkiShow,SlivkiChanel,Russia,20100000.0,Video games,2800000.0,195900.0,21900.0,,Tech&Gaming,MAPPED,youtube,september,2022
249,5-Minute Crafts PLAY,5-Minute Crafts PLAY,India,20100000.0,,79700.0,297.0,14.0,,,,youtube,september,2022
250,REACT,TheFineBros,United States,20100000.0,Humor,137500.0,5400.0,400.0,,Entertainment,MAPPED,youtube,september,2022
251,Vevo,VEVO,United States,20100000.0,Music & Dance,11500.0,415.0,5.0,,Music,MAPPED,youtube,september,2022
252,HaerteTest,HaerteTest,India,20000000.0,,23400.0,151.0,32.0,,,,youtube,september,2022
253,LankyBox,LankyBox,United States,20000000.0,Video games,438000.0,6600.0,360.0,,Tech&Gaming,MAPPED,youtube,september,2022
254,Lyrical Lemonade,GooodLifeFilms,United States,19900000.0,,2900000.0,60200.0,2900.0,,,,youtube,september,2022
255,Tlnovelas,TelenovelaTelevisa,Mexico,19900000.0,,11800.0,282.0,8.0,,,,youtube,september,2022
256,Mnet K-POP,Mnet,United States,19900000.0,Music & Dance,9500.0,900.0,33.0,Animation,Music,MAPPED,youtube,september,2022
257,Pencilmation,rossbollinger,United States,19900000.0,Animation,172900.0,2500.0,76.0,Humor,Entertainment,MAPPED,youtube,september,2022
258,Totoy kids - Português,Totoy kids - Português,,19900000.0,Animation,872400.0,4600.0,0.0,,Entertainment,MAPPED,youtube,september,2022
259,Vlad and Niki Arabic,Vlad and Niki Arabic,,19900000.0,,975300.0,6500.0,0.0,,,,youtube,september,2022
260,toyorbabytv,toyorbabytv,,19800000.0,Music & Dance,157300.0,0.0,0.0,,Music,MAPPED,youtube,september,2022
261,Pentatonix,PTXofficial,United States,19700000.0,Music & Dance,120300.0,5700.0,103.0,,Music,MAPPED,youtube,september,2022
262,Dr. Vivek Bindra: Motivational Speaker,MrVivekBindra,India,19700000.0,Education,172900.0,9400.0,608.0,,Knowledge&Info,MAPPED,youtube,september,2022
263,Romeo Santos,romeo,United States,19700000.0,Music & Dance,837100.0,38100.0,1600.0,,Music,MAPPED,youtube,september,2022
264,Marvel Entertainment,MARVEL,United States,19700000.0,Movies,299400.0,12100.0,786.0,Animation,Entertainment,MAPPED,youtube,september,2022
265,Noor Stars,Noor Stars,Iraq,19600000.0,Movies,1300000.0,131100.0,6500.0,Humor,Entertainment,MAPPED,youtube,september,2022
266,Got Talent Global,gottalentglobal,United States,19500000.0,,127000.0,1400.0,57.0,,,,youtube,september,2022
267,★ Kids Roma Show,★ Kids Roma Show,,19500000.0,Animation,1300000.0,8300.0,0.0,Toys,Entertainment,MAPPED,youtube,september,2022
268,Gordon Ramsay,gordonramsay,United States,19500000.0,Food & Drinks,153800.0,3900.0,320.0,Health & Self Help,Lifestyle,MAPPED,youtube,september,2022
269,Deddy Corbuzier,corbuzierprediction,Indonesia,19500000.0,,4200000.0,70700.0,8100.0,,,,youtube,september,2022
270,Kinder Spielzeug Kanal,Kinder Spielzeug Kanal,,19400000.0,Animation,83400.0,852.0,0.0,Toys,Entertainment,MAPPED,youtube,september,2022
271,Troom Troom Es,Troom Troom Es,Mexico,19300000.0,,125700.0,2500.0,72.0,,,,youtube,september,2022
272,Infinite,Infinite,United States,19300000.0,Video games,776700.0,25300.0,2400.0,Humor,Tech&Gaming,MAPPED,youtube,september,2022
273,Eva Bravo Play,Eva Bravo Play,,19300000.0,,523500.0,3400.0,0.0,,,,youtube,september,2022
274,Robin Hood Gamer,RobinHoodGamer1,Brazil,19300000.0,Animation,1000000.0,51400.0,784.0,Video games,Entertainment,MAPPED,youtube,september,2022
275,Kurzgesagt – In a Nutshell,Kurzgesagt,United States,19300000.0,Education,7000000.0,329700.0,24700.0,,Knowledge&Info,MAPPED,youtube,september,2022
276,Fatos Desconhecidos,fatosdesconhecidos,Brazil,19200000.0,Science & Technology,194500.0,19000.0,683.0,,Tech&Gaming,MAPPED,youtube,september,2022
277,Beast Reacts,Beast Reacts,United States,19100000.0,,12700000.0,389700.0,7100.0,,,,youtube,september,2022
278,Sun TV,Sun TV,India,19100000.0,,89400.0,1600.0,19.0,,,,youtube,september,2022
279,Crafty Panda,Crafty Panda,India,19100000.0,Music & Dance,81300.0,571.0,15.0,,Music,MAPPED,youtube,september,2022
280,NBA,NBA,United States,19100000.0,Sports,58300.0,1700.0,119.0,,Sports,MAPPED,youtube,september,2022
281,DLS News,DLS News,India,19000000.0,News & Politics,61500.0,1700.0,104.0,,Knowledge&Info,MAPPED,youtube,september,2022
282,Clash of Clans,OfficialClashOfClans,United States,18900000.0,Movies,299400.0,14000.0,394.0,Animation,Entertainment,MAPPED,youtube,september,2022
283,invictor,invictorgs3,Mexico,18900000.0,Animation,1300000.0,70200.0,982.0,Video games,Entertainment,MAPPED,youtube,september,2022
284,Netflix India,Netflix India,India,18900000.0,,131000.0,2800.0,105.0,,,,youtube,september,2022
285,Jimmy Kimmel Live,JimmyKimmelLive,United States,18900000.0,Movies,133100.0,3400.0,257.0,,Entertainment,MAPPED,youtube,september,2022
286,The ACE Family,The ACE Family,United States,18900000.0,Humor,702100.0,26000.0,2500.0,,Entertainment,MAPPED,youtube,september,2022
287,Green Gold TV - Official Channel,greengoldtv,,18800000.0,,922600.0,7400.0,0.0,,,,youtube,september,2022
288,Britain's Got Talent,BritainsGotTalent09,United Kingdom,18700000.0,Music & Dance,192200.0,1100.0,44.0,Movies,Music,MAPPED,youtube,september,2022
289,TRT Originals Urdu,TRT Originals Urdu,Pakistan,18700000.0,,308200.0,13600.0,328.0,,,,youtube,september,2022
290,AS Gaming,AS Gaming,India,18700000.0,,370700.0,32700.000000000004,1100.0,,,,youtube,september,2022
291,TheWillyrex,TheWillyrex,Spain,18600000.0,,25400.0,1500.0,0.0,,,,youtube,september,2022
292,The Royalty Family,The Royalty Family,United States,18500000.0,Humor,3400000.0,90200.0,0.0,,Entertainment,MAPPED,youtube,september,2022
293,Vania Mania Kids,Vania Mania Kids,,18500000.0,Animation,368000.0,1700.0,0.0,Toys,Entertainment,MAPPED,youtube,september,2022
294,CookieSwirlC,CookieSwirlC,United States,18500000.0,Video games,238100.0,3300.0,535.0,,Tech&Gaming,MAPPED,youtube,september,2022
295,Official Pink Panther,PinkPanther,,18400000.0,Movies,674900.0,4800.0,0.0,Animation,Entertainment,MAPPED,youtube,september,2022
296,Sonotek,sonotekvideo,India,18400000.0,Music & Dance,28600.0,655.0,58.0,Animation,Music,MAPPED,youtube,september,2022
297,BabyBus - Cerita & Lagu Anak-anak,BabyBus - Cerita & Lagu Anak-anak,,18400000.0,Movies,626400.0,4500.0,0.0,Humor,Entertainment,MAPPED,youtube,september,2022
298,KBS WORLD TV,kbsworld,Indonesia,18400000.0,,5300.0,137.0,6.0,,,,youtube,september,2022
299,MiawAug,MiawAug,Indonesia,18400000.0,Video games,850700.0,35400.0,2100.0,,Tech&Gaming,MAPPED,youtube,september,2022
300,CKN,CKN,,18300000.0,Video games,235300.0,1400.0,0.0,Toys,Tech&Gaming,MAPPED,youtube,september,2022
301,HiMan,HiMan,Russia,18300000.0,Video games,1600000.0,76900.0,2400.0,,Tech&Gaming,MAPPED,youtube,september,2022
302,ElTrollino,ElTrollino,Mexico,18300000.0,Animation,3500000.0,102600.0,2800.0,Video games,Entertainment,MAPPED,youtube,september,2022
303,Unbox Therapy,Unbox Therapy,United States,18300000.0,Science & Technology,1200000.0,28200.0,3300.0,,Tech&Gaming,MAPPED,youtube,september,2022
304,Turma da Mônica,turmadamonicaTV,,18200000.0,,127300.0,1200.0,0.0,,,,youtube,september,2022
305,Diana and Roma EN,TheElenaYa,,18200000.0,Animation,701100.0,2800.0,0.0,Toys,Entertainment,MAPPED,youtube,september,2022
306,Heidi & Zidane बच्चों की कहानियाँ,Heidi & Zidane बच्चों की कहानियाँ,,18200000.0,Daily vlogs,165100.0,1300.0,0.0,,Lifestyle,MAPPED,youtube,september,2022
307,Ninja Kidz TV,Ninja Kidz TV,United States,18200000.0,Video games,793900.0,18800.0,1300.0,,Tech&Gaming,MAPPED,youtube,september,2022
308,INCRÍVEL,INCRÍVEL,,18200000.0,Animation,26100.0,1300.0,33.0,,Entertainment,MAPPED,youtube,september,2022
309,TheOdd1sOut,TheOdd1sOut,United States,18100000.0,Movies,1100000.0,44200.0,1600.0,Animation,Entertainment,MAPPED,youtube,september,2022
310,Dan-Sa / Daniel Saboya,DanielSaboya,Brazil,18100000.0,Music & Dance,40700.0,1300.0,48.0,Animation,Music,MAPPED,youtube,september,2022
311,Emiway Bantai,Emiway Bantai,India,18100000.0,Music & Dance,1600000.0,208500.0,23600.0,,Music,MAPPED,youtube,september,2022
312,GEN HALILINTAR,GEN HALILINTAR,Indonesia,18100000.0,Music & Dance,195700.0,10400.0,238.0,Humor,Music,MAPPED,youtube,september,2022
313,Мирошка ТВ,Мирошка ТВ,United States,18100000.0,,15000.0,87.0,3.0,,,,youtube,september,2022
314,Vsauce,Vsauce,United States,18100000.0,Science & Technology,318900.0,17600.0,489.0,,Tech&Gaming,MAPPED,youtube,september,2022
315,Farruko,farrukotv,United States,18100000.0,Music & Dance,641600.0,39600.0,1800.0,,Music,MAPPED,youtube,september,2022
316,Kids Channel India - Hindi Rhymes and Baby Songs,Kids Channel India - Hindi Rhymes and Baby Songs,,18000000.0,Education,120200.0,1000.0,0.0,,Knowledge&Info,MAPPED,youtube,september,2022
317,SCTV,SCTVIndonesia,Indonesia,17900000.0,Music & Dance,24200.0,410.0,23.0,Movies,Music,MAPPED,youtube,september,2022
318,Village Cooking Channel,Village Cooking Channel,India,17900000.0,,4700000.0,262500.0,5500.0,,,,youtube,september,2022
319,Like Nastya Vlog,Like Nastya Vlog,,17900000.0,Daily vlogs,415900.0,1800.0,0.0,,Lifestyle,MAPPED,youtube,september,2022
320,Good Mythical Morning,rhettandlink2,United States,17900000.0,Food & Drinks,1200000.0,34600.0,1400.0,,Lifestyle,MAPPED,youtube,september,2022
321,Naisa Alifia Yuriza (N.A.Y),Naisa Alifia Yuriza (N.A.Y),Indonesia,17900000.0,Music & Dance,908300.0,35500.0,596.0,Movies,Music,MAPPED,youtube,september,2022
322,Lil Pump,Lil Pump,United States,17900000.0,Music & Dance,1300000.0,77600.0,8100.0,,Music,MAPPED,youtube,september,2022
323,Demi Lovato,therealdemilovato,United States,17800000.0,Music & Dance,53500.0,5300.0,136.0,,Music,MAPPED,youtube,september,2022
324,Marmok,dj47maryn,Russia,17800000.0,Animation,3900000.0,377100.0,17600.0,Video games,Entertainment,MAPPED,youtube,september,2022
325,RsiamMusic : อาร์สยาม,rsiammusic,Thailand,17800000.0,Music & Dance,10100.0,274.0,9.0,,Music,MAPPED,youtube,september,2022
326,Познаватель,ThePoznavatel,Russia,17700000.0,Toys,3100000.0,65600.0,2400.0,DIY & Life Hacks,Lifestyle,MAPPED,youtube,september,2022
327,TheGrefg,TheGrefg,Spain,17700000.0,Animation,986100.0,74800.0,1300.0,Video games,Entertainment,MAPPED,youtube,september,2022
328,Ali-A,Matroix,United States,17700000.0,Video games,466400.0,13600.0,904.0,,Tech&Gaming,MAPPED,youtube,september,2022
329,Little Angel Español - Canciones Infantiles,Little Angel Español - Canciones Infantiles,,17700000.0,Animation,425600.0,2600.0,0.0,,Entertainment,MAPPED,youtube,september,2022
330,Vlad and Niki IDN,Vlad and Niki IDN,,17700000.0,Music & Dance,605500.0,2500.0,0.0,Movies,Music,MAPPED,youtube,september,2022
331,Mother Goose Club Playhouse,SockeyeMedia,,17700000.0,Music & Dance,62900.0,160.0,0.0,,Music,MAPPED,youtube,september,2022
332,etvteluguindia,etvteluguindia,India,17600000.0,,18800.0,211.0,3.0,,,,youtube,september,2022
333,Khan GS Research Centre,Khan GS Research Centre,India,17600000.0,Education,7100000.0,540400.0,23200.0,,Knowledge&Info,MAPPED,youtube,september,2022
334,Sebastián Yatra,SebastianYatra,Colombia,17600000.0,Music & Dance,84900.0,5300.0,389.0,,Music,MAPPED,youtube,september,2022
335,TED-Ed,TEDEducation,United States,17500000.0,Science & Technology,202500.0,12300.0,358.0,,Tech&Gaming,MAPPED,youtube,september,2022
336,officialpsy,officialpsy,United States,17500000.0,Music & Dance,3200000.0,258399.99999999997,7400.0,,Music,MAPPED,youtube,september,2022
337,Porta dos Fundos,portadosfundos,Brazil,17400000.0,Movies,738900.0,73600.0,725.0,Animation,Entertainment,MAPPED,youtube,september,2022
338,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,,17400000.0,Education,55600.0,210.0,0.0,,Knowledge&Info,MAPPED,youtube,september,2022
339,Junya Official Channel,Junya Official Channel,Japan,17400000.0,,2100000.0,24100.0,132.0,,,,youtube,september,2022
340,RobleisIUTU,RobleisIUTU,Argentina,17400000.0,Movies,838800.0,57000.0,1900.0,Animation,Entertainment,MAPPED,youtube,september,2022
341,Maya and Mary,Maya and Mary,,17400000.0,Toys,1600.0,0.0,0.0,Education,Lifestyle,MAPPED,youtube,september,2022
342,Rafa & Luiz,Rafa & Luiz,Brazil,17400000.0,Video games,587500.0,33000.0,703.0,,Tech&Gaming,MAPPED,youtube,september,2022
343,Masha e o Urso,Masha e o Urso,,17400000.0,,489100.0,3600.0,0.0,,,,youtube,september,2022
344,Stubborn Facts,Stubborn Facts,India,17300000.0,,66700.0,3400.0,166.0,,,,youtube,september,2022
345,SQUEEZIE,aMOODIEsqueezie,France,17300000.0,,5300000.0,423000.0,7900.0,,,,youtube,september,2022
346,EeOneGuy,EeOneGuy,Russia,17300000.0,Music & Dance,204600.0,13200.0,5600.0,,Music,MAPPED,youtube,september,2022
347,SUPER SLICK SLIME SAM,SUPER SLICK SLIME SAM,Mexico,17200000.0,,222200.0,6700.0,176.0,,,,youtube,september,2022
348,Willyrex,Willyrex,Mexico,17200000.0,Video games,151900.0,13200.0,66.0,,Tech&Gaming,MAPPED,youtube,september,2022
349,Grammy Gold Official,grammygoldofficia,Thailand,17200000.0,Music & Dance,15000.0,312.0,9.0,,Music,MAPPED,youtube,september,2022
350,DUDU e CAROL,DUDU e CAROL,Brazil,17200000.0,,3100000.0,188300.0,1100.0,,,,youtube,september,2022
351,شبكة العاب العرب | Arab Games Network,ArabGamesNetwork,Algeria,17200000.0,,307500.0,28200.0,1400.0,,,,youtube,september,2022
352,Sourav Joshi Vlogs,Sourav Joshi Vlogs,India,17000000.0,Daily vlogs,5800000.0,532300.0,13900.0,,Lifestyle,MAPPED,youtube,september,2022
353,IGN,IGNentertainment,United States,17000000.0,,45700.0,1000.0,105.0,,,,youtube,september,2022
354,Jason Derulo,JasonDerulo,United States,17000000.0,Music & Dance,68100.0,4500.0,66.0,,Music,MAPPED,youtube,september,2022
355,Guava Juice,aynakoitsroi,United States,17000000.0,,217400.0,6300.0,708.0,,,,youtube,september,2022
356,7clouds,monstafluffmusicTV,United States,16900000.0,Music & Dance,233600.0,5200.0,175.0,,Music,MAPPED,youtube,september,2022
357,Jane ASMR 제인,Jane ASMR 제인,United States,16900000.0,Daily vlogs,290000.0,5600.0,285.0,,Lifestyle,MAPPED,youtube,september,2022
358,Anitta,AnittaOficial,Brazil,16900000.0,Music & Dance,3200000.0,132500.0,9100.0,,Music,MAPPED,youtube,september,2022
359,Doggy Doggy Cartoons,kidstvsongs,,16800000.0,,3100.0,50.0,0.0,,,,youtube,september,2022
360,Triggered Insaan,Triggered Insaan,India,16800000.0,Humor,5600000.0,521299.99999999994,15700.0,,Entertainment,MAPPED,youtube,september,2022
361,SOMOY TV,SOMOY TV,Bangladesh,16800000.0,Daily vlogs,8300.0,185.0,13.0,,Lifestyle,MAPPED,youtube,september,2022
362,Dhar Mann,Dhar Mann,United States,16800000.0,Health & Self Help,5800000.0,130699.99999999999,6100.0,,Knowledge&Info,MAPPED,youtube,september,2022
363,Dushyant kukreja,Dushyant kukreja,India,16700000.0,,3700000.0,245300.0,531.0,,,,youtube,september,2022
364,Manual do Mundo,iberethenorio,Brazil,16700000.0,Science & Technology,411500.0,53300.0,645.0,,Tech&Gaming,MAPPED,youtube,september,2022
365,Shemaroo Comedy,indiancomedy,India,16700000.0,,98900.0,913.0,26.0,,,,youtube,september,2022
366,TheBrianMaps,TheBrianMaps,Russia,16600000.000000002,Video games,3100000.0,204300.0,11400.0,Humor,Tech&Gaming,MAPPED,youtube,september,2022
367,Tu COSMOPOLIS,Tu COSMOPOLIS,Mexico,16600000.000000002,News & Politics,78600.0,6200.0,534.0,,Knowledge&Info,MAPPED,youtube,september,2022
368,DeToxoMoroxo,jquintanac5,Mexico,16600000.000000002,Movies,571900.0,34600.0,9100.0,Animation,Entertainment,MAPPED,youtube,september,2022
369,Alejo Igoa,Alejo Igoa,Argentina,16600000.000000002,DIY & Life Hacks,6800000.0,293500.0,76700.0,,Lifestyle,MAPPED,youtube,september,2022
370,Goldmines Great Indian Comedy,Goldmines Great Indian Comedy,India,16600000.000000002,,14100.0,180.0,9.0,,,,youtube,september,2022
371,zbing z.,zbingzbing,Thailand,16500000.0,Animation,390300.0,15600.0,541.0,Video games,Entertainment,MAPPED,youtube,september,2022
372,SonyMusicSouthVEVO,SonyMusicSouthVEVO,,16500000.0,Music & Dance,21000.0,577.0,21.0,,Music,MAPPED,youtube,september,2022
373,tanboy kun,tanboy kun,Indonesia,16500000.0,Music & Dance,2000000.0,47500.0,2100.0,,Music,MAPPED,youtube,september,2022
374,IDEAS EN 5 MINUTOS,IDEAS EN 5 MINUTOS,Mexico,16500000.0,,39800.0,335.0,8.0,,,,youtube,september,2022
375,Apple,Apple,,16399999.999999998,Music & Dance,2300000.0,27500.0,0.0,Animation,Music,MAPPED,youtube,september,2022
376,Zuni and Family,Zuni and Family,,16399999.999999998,Daily vlogs,225500.0,1300.0,0.0,,Lifestyle,MAPPED,youtube,september,2022
377,Prajapati News,Prajapati News,India,16399999.999999998,,24700.0,1300.0,64.0,,,,youtube,september,2022
378,Sandra Cires Art,Sandra Cires Art,Colombia,16399999.999999998,,412000.0,37400.0,537.0,,,,youtube,september,2022
379,Blippi - Educational Videos for Kids,Blippi - Educational Videos for Kids,,16399999.999999998,Education,1300000.0,4200.0,0.0,Toys,Knowledge&Info,MAPPED,youtube,september,2022
380,Sidemen,Sidemen,United Kingdom,16399999.999999998,Video games,10200000.0,412200.0,10600.0,Humor,Tech&Gaming,MAPPED,youtube,september,2022
381,ExtraPolinesios,ppextras,Mexico,16399999.999999998,Daily vlogs,131800.0,5600.0,157.0,,Lifestyle,MAPPED,youtube,september,2022
382,Dan Rhodes,Dan Rhodes,India,16300000.0,Animation,1800000.0,119000.0,409.0,Toys,Entertainment,MAPPED,youtube,september,2022
383,RKD Studios,rkddigital,India,16300000.0,,171400.0,1900.0,56.0,,,,youtube,september,2022
384,Antrax,Antrax,Mexico,16300000.0,Video games,570500.0,41400.0,1500.0,,Tech&Gaming,MAPPED,youtube,september,2022
385,The Game Theorists,MatthewPatrick13,United States,16200000.0,Science & Technology,2300000.0,123900.0,5900.0,,Tech&Gaming,MAPPED,youtube,september,2022
386,Queen Official,queenofficial,United States,16200000.0,Music & Dance,0.0,0.0,0.0,Movies,Music,MAPPED,youtube,september,2022
387,Fede Vigevani,Fede Vigevani,Mexico,16200000.0,,3500000.0,202700.0,10600.0,,,,youtube,september,2022
388,FailArmy,failarmy,United States,16200000.0,Animation,2600000.0,28600.0,2100.0,Humor,Entertainment,MAPPED,youtube,september,2022
389,El Reino a Jugar,El Reino a Jugar,,16200000.0,Education,400700.0,1800.0,0.0,Toys,Knowledge&Info,MAPPED,youtube,september,2022
390,Katie Angel,Katie Angel,Mexico,16100000.000000002,,306100.0,25900.0,173.0,,,,youtube,september,2022
391,Les' Copaque Production,lescopaque,Indonesia,16100000.000000002,,74900.0,878.0,35.0,,,,youtube,september,2022
392,VICE,vice,United States,16100000.000000002,News & Politics,414400.0,5600.0,1300.0,,Knowledge&Info,MAPPED,youtube,september,2022
393,Kaykai Salaider,Kaykai Salaider,Thailand,16100000.000000002,Movies,1100000.0,103600.0,4700.0,Humor,Entertainment,MAPPED,youtube,september,2022
394,Boyce Avenue,boyceavenue,Brazil,16000000.0,Music & Dance,314700.0,11500.0,450.0,,Music,MAPPED,youtube,september,2022
395,Marques Brownlee,marquesbrownlee,United States,16000000.0,Science & Technology,2700000.0,127000.0,4300.0,,Tech&Gaming,MAPPED,youtube,september,2022
396,Sony AATH,Sony AATH,Bangladesh,16000000.0,,59200.0,1000.0,40.0,,,,youtube,september,2022
397,YOLO AVENTURAS,YOLO AVENTURAS,Mexico,16000000.0,,1700000.0,140700.0,708.0,,,,youtube,september,2022
398,Zhong,Zhong,United States,16000000.0,,3400000.0,252500.0,1500.0,,,,youtube,september,2022
399,jeffreestar,jeffreestar,United States,16000000.0,Beauty,1200000.0,50000.0,5500.0,,Beauty&Fashion,MAPPED,youtube,september,2022
400,Aayu and Pihu Show,Aayu and Pihu Show,India,16000000.0,Movies,3100000.0,71300.0,4200.0,Humor,Entertainment,MAPPED,youtube,september,2022
401,DopeLyrics,DopeLyrics,United States,16000000.0,Music & Dance,10300.0,272.0,28.0,,Music,MAPPED,youtube,september,2022
402,JJ Olatunji,KSIOlajidebtHD,United States,16000000.0,,3900000.0,286400.0,11900.0,,,,youtube,september,2022
403,Zappy Toons - Hindi Nursery Rhymes and Stories,Zappy Toons - Hindi Nursery Rhymes and Stories,,16000000.0,Education,317500.0,1500.0,0.0,,Knowledge&Info,MAPPED,youtube,september,2022
404,Smile Family Spanish,Smile Family Spanish,,15900000.0,,440700.0,2500.0,0.0,,,,youtube,september,2022
405,Jason Vlogs,Jason Vlogs,,15900000.0,Animation,454300.0,2100.0,0.0,Toys,Entertainment,MAPPED,youtube,september,2022
406,AMARINTV : อมรินทร์ทีวี,AMARINTV : อมรินทร์ทีวี,Thailand,15900000.0,News & Politics,6400.0,93.0,7.0,,Knowledge&Info,MAPPED,youtube,september,2022
