rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg
1,jypestraykids,Stray Kids,13800000.0,6400000.0,2300000.0,50200.0,34200.0
2,khaby.lame,Khabane lame,149200000.0,17300000.0,2300000.0,15200.0,8700.0
3,scarlettsspam2,scarlett,2100000.0,17900000.0,845800.0,53900.0,6300.0
4,addisonre,Addison Rae,88700000.0,22000000.0,906600.0,7600.0,26200.0
5,belindatok,Belinda,4800000.0,14200000.0,1500000.0,14500.0,15300.0
6,onwardwanna,Wanna🥊,7500000.0,12000000.0,2000000.0,20400.0,4200.0
7,therock,The Rock,55400000.0,13100000.0,1500000.0,14300.0,11900.0
8,bizarrap,bzrp,5800000.0,16200000.0,2700000.0,4200.0,6900.0
9,landonbarkerr,Landon Barker,3800000.0,11700000.0,1200000.0,19100.0,15200.0
10,mrbeast,MrBeast,42200000.0,13000000.0,1700000.0,17200.0,2100.0
11,charlidamelio,charli d’amelio,146200000.0,15200000.0,959400.0,20800.0,4600.0
12,amauryguichon,Amaury Guichon,14500000.0,11400000.0,1500000.0,7200.0,11800.0
13,jetbentlee,Jet,3900000.0,12400000.0,2200000.0,3600.0,6600.0
14,kervo.dolo,Kervo.dolo,10300000.0,5700000.0,1300000.0,7900.0,27600.0
15,ttdramanews,TT Drama Layla,856300.0,6100000.0,1100000.0,16600.0,17700.0
16,mishayoung,Миша Городецкий 🇺🇦,4000000.0,10800000.0,680000.0,5700.0,22500.0
17,domelipa,domelipa,58100000.0,10400000.0,1500000.0,9100.0,3500.0
18,kyliejenner,Kylie Jenner,47000000.0,12300000.0,1900000.0,5500.0,2600.0
19,enhypen,enhypen,12700000.0,4300000.0,1100000.0,24800.0,14300.0
20,kimberly.loaiza,Kimberly Loaiza,67200000.0,8800000.0,1200000.0,12100.0,4300.0
21,ramonvitor,ramonvitor,8700000.0,9300000.0,1900000.0,7300.0,2400.0
22,txt.bighitent,TOMORROW X TOGETHER,18100000.0,3800000.0,1100000.0,27400.0,9500.0
23,emraynea,emraynea,1100000.0,5100000.0,1400000.0,6600.0,13500.0
24,bp_tiktok,blackpinkofficial,31200000.0,4500000.0,839600.0,13900.0,22200.0
25,mtarek.official3,Mohamed Tarek - محمد طارق,1300000.0,4700000.0,864200.0,21900.0,8000.0
26,zeth,Zeth,13000000.0,8500000.0,1700000.0,2200.0,6200.0
27,kurtsworld,Kurt Kunkle,1300000.0,4900000.0,685900.0,30100.0,3300.0
28,joshtgodfrey,Josh Godfrey,285500.0,6400000.0,587600.0,12800.0,16300.0
29,justinflom,JustinFlom,6100000.0,12900000.0,789200.0,4500.0,6200.0
30,williesalim,WILLIE SALIM,15500000.0,8100000.0,589200.0,17400.0,5400.0
31,rosalia,La Rosalia,25500000.0,14200000.0,1200000.0,3300.0,2600.0
32,birovr,Biro,3000000.0,6400000.0,760900.0,6100.0,14300.0
33,kiet.ac.quy,Kiệt Ắk Wỷ,3300000.0,5200000.0,842200.0,12300.0,8500.0
34,threedotcorey,corey,4900000.0,6300000.0,1400000.0,2900.0,7100.0
35,iamferv,Fernanda,31500000.0,6600000.0,962300.0,10000.0,3900.0
36,winnermaxyt,WinnerMax,4500000.0,13800000.0,1000000.0,1800.0,4500.0
37,devankey,Devan Key,8000000.0,6900000.0,976200.0,8600.0,3700.0
38,yunggravy,Yung Gravy 🍯,6600000.0,9500000.0,1400000.0,3500.0,2700.0
39,siscakohl,Sisca Kohl,12400000.0,9200000.0,1100000.0,6200.0,1800.0
40,lexibrookerivera,Lexi Rivera,23200000.0,7500000.0,992500.0,8500.0,1800.0
41,leith1423,Leithal,1100000.0,7900000.0,1300000.0,3800.0,3200.0
42,imeyhou,Meyden,3000000.0,9000000.0,799500.0,8000.0,1600.0
43,b.blek,b.blek,2600000.0,8000000.0,616700.0,6400.0,7400.0
44,mc.pedrinhoofc,Mc Pedrinho,5000000.0,8199999.999999999,1200000.0,5000.0,2000.0
45,jennmelon,Jenn Melon,2200000.0,5500000.0,1400000.0,3800.0,4900.0
46,nilered,NileRed,10300000.0,6000000.0,1000000.0,4400.0,6300.0
47,zhangxi_acupuntura,doctor Zhang Xi,2900000.0,7000000.0,378500.0,1500.0,22500.0
48,pongamoslo_a_prueba,Pongámoslo a Prueba,36700000.0,9300000.0,1600000.0,2300.0,2000.0
49,itsmacdoogle,ItsMacDoogle,1800000.0,3900000.0,685900.0,10100.0,13000.0
50,jesusnalgas,jesus_nalgas,2600000.0,5000000.0,970100.0,6000.0,6000.0
51,notemmamarie,Em,493900.0,4400000.0,775200.0,9100.0,6700.0
52,daniel.labelle,Daniel LaBelle,27000000.0,5200000.0,816800.0,3800.0,8400.0
53,conangray,conangray,6400000.0,3900000.0,1100000.0,7000.0,4900.0
54,spencer_serafica,Xspencer,13600000.0,5200000.0,924300.0,5900.0,4000.0
55,musikyotogsj,うさっくま♡Movie,1200000.0,4300000.0,192000.0,1800.0,55900.0
56,ryanbakery,𝙍𝙮𝙖𝙣𝘽𝙖𝙠𝙚𝙧𝙮,2900000.0,5400000.0,548200.0,7800.0,7700.0
57,soyminisech,🐻🐻SECHITO🐻🐻,1200000.0,6500000.0,603400.0,2000.0,9500.0
58,katya.ross,Katya Ross,293300.0,2800000.0,665300.0,5700.0,18100.0
