year,platform,month,handle,name,rank,followers,audience_country,category_unified,er_pct,engagement_avg,likes_avg,comments_avg,views_avg,shares_avg,potential_reach,number_videos_last_year
2026,YouTube,,tseries,T-Series,,311000000.0,India,Entertainment,0.003707096463022508,,11219.77,309.3,593456.13,,,30
2026,YouTube,,checkgate,Cocomelon - Nursery Rhymes,,200000000.0,United States,Entertainment,0.0052626,,10525.2,0.0,2354663.77,,,30
2026,YouTube,,setindia,SET India,,189000000.0,India,Music,2.827513227513227e-05,,50.87,2.57,7726.93,,,30
2026,YouTube,,PewDiePie,PewDiePie,,110000000.0,Japan,Lifestyle,0.17724454545454546,,185737.41,9231.59,3174221.5,,,22
2026,YouTube,,MrBeast6000,MrBeast,,474000000.0,United States,Entertainment,0.5598174746835444,,2602490.5,51044.33,198598032.8,,,30
2026,YouTube,,WWEFanNation,WWE,,112000000.0,,Sports,0.004245714285714287,,4629.27,125.93,193300.97,,,30
2026,YouTube,,zeemusiccompany,Zee Music Company,,122000000.0,India,Music,0.0007828442622950821,,935.07,20.0,73270.1,,,30
2026,YouTube,,kidrauhl,Justin Bieber,,77200000.0,Canada,Music,0.0704545725388601,,51849.53,2541.4,5363515.5,,,30
2026,YouTube,,GoldminesTelefilms,Goldmines,,109000000.0,India,Entertainment,0.0004927798165137615,,530.03,7.1,56669.0,,,30
2026,YouTube,,CanalKondZilla,Canal KondZilla,,68100000.0,Brazil,Music,0.0003741116005873715,,245.6,9.17,12594.73,,,30
2026,YouTube,,BANGTANTV,BANGTANTV,,83400000.0,,Music,0.35043717026378896,,280325.43,11939.17,1752352.13,,,30
2026,YouTube,,sabtv,Sony SAB,,105000000.0,India,Entertainment,0.00034783809523809524,,356.5,8.73,22970.53,,,30
2026,YouTube,,ibighit,HYBE LABELS,,80500000.0,South Korea,Music,0.522148198757764,,374933.17,45396.13,4652750.5,,,30
2026,YouTube,,zeetv,Zee TV,,97500000.0,India,Entertainment,1.5794871794871795e-05,,15.1,0.3,742.23,,,30
2026,YouTube,,filmigaane,Shemaroo Filmi Gaane,,74400000.0,India,Entertainment,0.00038844086021505374,,280.13,8.87,29275.43,,,30
2026,YouTube,,corycotton,Dude Perfect,,61800000.0,United States,Lifestyle,0.11991347896440128,,72589.53,1517.0,5510589.63,,,30
2026,YouTube,,SmartBooksMedia,Baby Shark - Pinkfong Kids’ Songs & Stories,,84400000.0,United States,Music,0.002981315165876777,,2516.23,0.0,768784.4,,,30
2026,YouTube,,Marshmello,Marshmello,,58400000.0,United States,Music,0.01361482876712329,,7644.63,306.43,354127.77,,,30
2026,YouTube,,BHOJPURIWAVE,Wave Music,,69800000.0,India,Music,0.0012156590257879655,,810.43,38.1,215119.87,,,30
2026,YouTube,,colorstv,Colors TV,,82000000.0,India,Entertainment,1.707317073170732e-06,,1.37,0.03,52.1,,,30
2026,YouTube,,aajtaktv,Aaj Tak,,74900000.0,India,Lifestyle,0.00016696929238985315,,122.63,2.43,19140.67,,,30
2026,YouTube,,sonymusicindiaSME,Sony Music India,,70500000.0,India,Music,0.02614434042553192,,16090.43,2341.33,287780.87,,,30
2026,YouTube,,tipsmusic,Tips Official,,81000000.0,India,Entertainment,0.0016373580246913583,,1307.13,19.13,217771.3,,,30
2026,YouTube,,ReinoMariaElenaWalsh,El Reino Infantil,,71000000.0,Argentina,Entertainment,0.0030768028169014085,,2184.53,0.0,573820.13,,,30
2026,YouTube,,LooLooKids,LooLoo Kids - Nursery Rhymes and Children's Songs,,61900000.0,United States,Entertainment,0.011255040387722133,,6966.87,0.0,4918082.37,,,30
2026,YouTube,,tseriesbhakti,T-Series Bhakti Sagar,,81800000.0,India,Lifestyle,0.0006268459657701712,,475.53,37.23,33430.7,,,30
2026,YouTube,,JuegaGerman,JuegaGerman,,55100000.0,Chile,Tech&Gaming,0.24085274047186933,,129910.53,2799.33,3691241.5,,,30
2026,YouTube,,yrf,YRF,,71600000.0,India,Music,0.00518268156424581,,3681.53,29.27,250700.9,,,30
2026,YouTube,,felipeneto,Felipe Neto,,47800000.0,Brazil,Entertainment,0.03954058577405857,,18524.03,376.37,225167.27,,,30
2026,YouTube,,whinderssonnunes,whinderssonnunes,,44600000.0,Brazil,Entertainment,0.005364349775784753,,2362.03,30.47,49852.27,,,30
2026,YouTube,,KatyPerryMusic,Katy Perry,,46800000.0,United States,Entertainment,0.03371602564102564,,14348.23,1430.87,487573.13,,,30
2026,YouTube,,vcsabiavideos,Você Sabia?,,47100000.0,Brazil,Entertainment,0.05390715498938428,,24824.67,565.6,533484.93,,,30
2026,YouTube,,infobellshindirhymes,Infobells - Hindi,,72200000.0,India,Music,0.012419155124653738,,8966.63,0.0,1125740.9,,,30
2026,YouTube,,DjWalkzz,Alan Walker,,47400000.0,Norway,Music,0.013728902953586499,,6218.8,288.7,178671.5,,,30
2026,YouTube,,sonymusicindiaVEVO,SonyMusicIndiaVEVO,,59700000.0,,Music,0.009078442211055276,,5348.43,71.4,679190.6,,,30
2026,YouTube,,speedrecordss,Speed Records,,48300000.0,India,Music,0.0014935817805383023,,708.27,13.13,83642.9,,,30
2026,YouTube,,A4,Ari Power,,18.0,,,0.0,,,,,,,0
2026,YouTube,,ABSCBNOnline,ABS-CBN Entertainment,,54700000.0,Philippines,Entertainment,1.5045703839122487e-05,,7.83,0.4,411.73,,,30
2026,YouTube,,getmovies,Get Movies,,57000000.0,United Arab Emirates,Entertainment,0.0010266140350877193,,585.17,0.0,113650.93,,,30
2026,YouTube,,LuisitoComunicaa,Luisito Comunica,,45700000.0,Mexico,Lifestyle,0.2974127571115974,,132346.23,3571.4,9864385.57,,,30
2026,YouTube,,LittleBabyBum,Little Baby Bum - Nursery Rhymes & Kids Songs,,41700000.0,United States,Entertainment,0.001692326139088729,,705.7,0.0,168273.53,,,30
2026,YouTube,,TheEllenShow,TheEllenShow,,38000000.0,United States,Entertainment,0.0007179736842105263,,272.83,,20577.3,,,30
2026,YouTube,,MashaMedvedTV,Маша и Медведь,,59900000.0,Russia,Entertainment,0.01578792988313856,,9456.97,,2109975.93,,,30
2026,YouTube,,gr6explode,GR6 EXPLODE,,42900000.0,Brazil,Music,0.016589650349650348,,6956.23,160.73,498155.07,,,30
2026,YouTube,,luccasneto,LUCCAS NETO,,53400000.0,Brazil,Entertainment,0.00837932584269663,,4378.43,96.13,311298.67,,,30
2026,YouTube,,venus,Ishtar Music,,53000000.0,India,Entertainment,0.0018464905660377359,,970.17,8.47,61201.5,,,30
2026,YouTube,,ShemarooEnt,Shemaroo,,61500000.0,India,Entertainment,0.00032139837398373984,,191.53,6.13,26869.4,,,30
2026,YouTube,,DaddyYankeeOFFTV,Daddy Yankee,,41300000.0,United States,Lifestyle,0.23224922518159807,,90981.31,4937.62,8929736.31,,,16
2026,YouTube,,WorkpointOfficial,WorkpointOfficial,,43600000.0,Thailand,Lifestyle,8.394495412844035e-05,,34.87,1.73,1483.0,,,30
2026,YouTube,,SuperSimpleSongs,Super Simple Songs - Kids Songs,,46100000.0,Canada,Entertainment,0.007739479392624729,,3567.9,0.0,5848172.03,,,30
2026,YouTube,,JbalvinTube,J Balvin,,35200000.0,Colombia,Music,0.02067017045454545,,7020.83,255.07,518257.0,,,30
2026,YouTube,,gmmonetv,ช่อง one31,,44500000.0,Thailand,Entertainment,0.00011137078651685394,,47.33,2.23,1302.8,,,30
2026,YouTube,,vegetta777,VEGETTA777,,34700000.0,,Tech&Gaming,0.04344804034582133,,14879.7,196.77,233186.97,,,30
2026,YouTube,,YouTube,YouTube,,45000000.0,United States,Entertainment,0.007077266666666666,,2977.1,207.67,264937.14,,,30
2026,YouTube,,markiplierGAME,Markiplier,,38500000.0,United States,Tech&Gaming,0.2120948051948052,,77970.7,3685.8,1726194.1,,,30
2026,YouTube,,abpnewstv,ABP NEWS,,50400000.0,India,Lifestyle,4.464285714285714e-05,,22.33,0.17,2334.63,,,30
2026,YouTube,,NoCopyrightSounds,NoCopyrightSounds,,34300000.0,United Kingdom,Music,0.011942274052478132,,3734.73,361.47,152900.27,,,30
2026,YouTube,,UltraHindi,Ultra Bollywood,,46900000.0,India,Entertainment,0.0034139445628997866,,1572.77,28.37,277394.07,,,30
2026,YouTube,,tseriesapnapunjab,T-Series Apna Punjab,,40900000.0,India,Music,0.0009929095354523228,,393.1,13.0,17064.87,,,30
2026,YouTube,,SSSniperWolf,SSSniperWolf,,35000000.0,United States,Entertainment,0.030131342857142862,,9825.2,720.77,394672.23,,,30
2026,YouTube,,Mikecrack,Mikecrack,,58200000.0,Spain,Tech&Gaming,0.06911644329896906,,38048.6,2177.17,1577360.97,,,30
2026,YouTube,,tv3official,Ch3Thailand,,36700000.0,Thailand,Entertainment,0.0005957493188010899,,213.57,5.07,15580.8,,,30
