#,الاسم,المتابعون,معدل الارتداد,الدولة,موضوع التأثير,مدى الإمكانية,حفظ,دعوة للانضمام إلى الحملة
1,🌟🌟𝙍𝙚𝙛𝙡𝙚𝙭𝙞𝙤𝙣 𝘿𝙞𝙖𝙧𝙞𝙖🌟🌟 @reflexion.diaria,2.7M,0.7%,رومانيا,تعليم الحياة والمجتمع,803.7K,,عرض الملف الشخصي
2,Dorian Popa @eusuntdorian,2.4M,0.41%,رومانيا,الأزياء والإكسسوارات,735K,,عرض الملف الشخصي
3,Alina Eremia @alinaeremia,2.1M,0.39%,رومانيا,فن,620K,,عرض الملف الشخصي
4,𝐆𝐚𝐛𝐫𝐢𝐞𝐥 𝐑𝐨𝐥𝐨́𝐧 @gabriel.rolon,1.9M,0.43%,رومانيا,تعليم السيارات ممثلين,568.8K,,عرض الملف الشخصي
5,Loredana Chivu ♠️ @loredanachivu_official,1.9M,0.32%,رومانيا,الأزياء والإكسسوارات الفنون والحرف اليدوية الترفيه والموسيقى تمثيل,563.5K,,عرض الملف الشخصي
6,Adelina Pestritu @adelina.pestritu,1.8M,0.42%,رومانيا,الأزياء والإكسسوارات الترفيه والموسيقى مشاهير,554.9K,,عرض الملف الشخصي
7,Investing | Motivation | Technology @investearnsave,1.8M,0.19%,رومانيا,الأعمال والتمويل التمويل الشخصي,526K,,عرض الملف الشخصي
8,Simona Halep @simonahalep,1.7M,0.64%,رومانيا,رياضة تنس تمثيل,516K,,عرض الملف الشخصي
9,Andreea Balan @andreeabalanofficial,1.7M,0.41%,رومانيا,الترفيه والموسيقى الأسرة موسيقى,501.6K,,عرض الملف الشخصي
10,Mihai Bendeac @jurnalul_unui_burlac,1.4M,1.42%,رومانيا,فن,431.5K,,عرض الملف الشخصي
11,Lidia Buble @lidiabuble,1.4M,0.39%,رومانيا,موسيقى,429.2K,,عرض الملف الشخصي
12,Iuliana Beregoi @iulianaberegoiofficial,1.4M,0.56%,رومانيا,الترفيه والموسيقى,420.3K,,عرض الملف الشخصي
13,💎𝐀NDA ADAM 💎 @andaadam,1.3M,0.15%,رومانيا,الترفيه والموسيقى الأزياء والإكسسوارات الأعمال والتمويل تمثيل,388.8K,,عرض الملف الشخصي
14,THEO ROSE @theorose.official,1.3M,1.54%,رومانيا,الترفيه والموسيقى التسويق والإعلان موسيقى,376.9K,,عرض الملف الشخصي
15,SPEAK @iamspeak,1.2M,0.71%,رومانيا,الأزياء والإكسسوارات الترفيه والموسيقى التسويق والإعلان فنان,366.9K,,عرض الملف الشخصي
16,CATRINEL MARLON @catrinelmarlon,1.2M,1.39%,رومانيا,التمثيل والدراما الأزياء والإكسسوارات تمثيل,363K,,عرض الملف الشخصي
