file,platform,country,raw_topic,count
tiktok_data_indonesia.csv,tiktok,indonesia,Забавление и музика,16
instagram_data_romania.csv,instagram,romania,الترفيه والموسيقى,7
instagram_data_brazil.csv,instagram,brazil,ورزش فوتبال,6
youtube_data_norway.csv,youtube,norway,موسيقى,6
youtube_data_czechia.csv,youtube,czechia,موسیقی,6
instagram_data_romania.csv,instagram,romania,فن,5
instagram_data_brazil.csv,instagram,brazil,سرگرمی و موسیقی موسیقی خواننده,4
tiktok_data_poland.csv,tiktok,poland,Moda i pribor,4
tiktok_data_sweden.csv,tiktok,sweden,Skönhet och personlig vård,3
tiktok_data_belgium.csv,tiktok,belgium,Kunst und Handwerk,3
tiktok_data_belgium.csv,tiktok,belgium,Romantik und Hochzeit,3
tiktok_data_indonesia.csv,tiktok,indonesia,Красота и грижа за себе си,3
instagram_data_brazil.csv,instagram,brazil,سرگرمی و موسیقی موسیقی,3
instagram_data_united-arab-emirates.csv,instagram,united-arab-emirates,Moda e Acessórios,3
instagram_data_romania.csv,instagram,romania,تعليم تحسين المهارات,3
youtube_data_united-kingdom.csv,youtube,united-kingdom,भिडियो गेमिङ,2
tiktok_data_belgium.csv,tiktok,belgium,Mode und Accessoires,2
instagram_data_united-arab-emirates.csv,instagram,united-arab-emirates,Atores,2
youtube_data_united-kingdom.csv,youtube,united-kingdom,प्रसिद्धि,2
tiktok_data_sweden.csv,tiktok,sweden,Romantik och bröllop,2
instagram_data_united-arab-emirates.csv,instagram,united-arab-emirates,Negócios e Finanças,2
instagram_data_romania.csv,instagram,romania,أخبار,2
tiktok_data_poland.csv,tiktok,poland,Ljepota i briga za sebe,2
tiktok_data_poland.csv,tiktok,poland,Predstavljanje proizvoda,2
instagram_data_romania.csv,instagram,romania,طعام,2
tiktok_data_sweden.csv,tiktok,sweden,Familj,2
tiktok_data_sweden.csv,tiktok,sweden,Roligt,2
tiktok_data_poland.csv,tiktok,poland,Umjetnost i zanati,2
tiktok_data_poland.csv,tiktok,poland,Obrazovanje,2
tiktok_data_poland.csv,tiktok,poland,Hrana,2
tiktok_data_poland.csv,tiktok,poland,Smišno,2
tiktok_data_poland.csv,tiktok,poland,Umjetnost,2
tiktok_data_indonesia.csv,tiktok,indonesia,Образование,2
tiktok_data_indonesia.csv,tiktok,indonesia,Игри,2
youtube_data_norway.csv,youtube,norway,ألعاب فيديو,2
youtube_data_finland.csv,youtube,finland,音樂,2
instagram_data_finland.csv,instagram,finland,Ice Hockey,2
tiktok_data_indonesia.csv,tiktok,indonesia,Пътувания,2
youtube_data_czechia.csv,youtube,czechia,مشہور شخصیت موسیقی,2
youtube_data_czechia.csv,youtube,czechia,ویڈیو گیمنگ,2
instagram_data_brazil.csv,instagram,brazil,سرگرمی و موسیقی خواننده موسیقی,2
instagram_data_brazil.csv,instagram,brazil,تناسب اندام و سلامتی مدلسازی,2
instagram_data_brazil.csv,instagram,brazil,سرگرمی و موسیقی,2
tiktok_data_belgium.csv,tiktok,belgium,Fotografie,1
tiktok_data_belgium.csv,tiktok,belgium,Lustig,1
tiktok_data_belgium.csv,tiktok,belgium,Lustig Familie,1
tiktok_data_belgium.csv,tiktok,belgium,Mode und Accessoires Reisen,1
instagram_data_united-arab-emirates.csv,instagram,united-arab-emirates,Família Vlogger,1
instagram_data_brazil.csv,instagram,brazil,هنر سرگرمی و موسیقی موسیقی خواننده,1
instagram_data_united-kingdom.csv,instagram,united-kingdom,Meelelahutus ja muusika Muusika Rock Laulja,1
instagram_data_austria.csv,instagram,austria,Rap,1
instagram_data_united-kingdom.csv,instagram,united-kingdom,Pere Meelelahutus ja muusika Lapsevanemlus Muusika,1
instagram_data_united-kingdom.csv,instagram,united-kingdom,Näitlejad Muusika,1
instagram_data_united-kingdom.csv,instagram,united-kingdom,Meelelahutus ja muusika,1
instagram_data_united-kingdom.csv,instagram,united-kingdom,Toit Ilutooted ja enesehooldus Näitlejad,1
instagram_data_united-kingdom.csv,instagram,united-kingdom,Näitlemine ja draama,1
instagram_data_united-kingdom.csv,instagram,united-kingdom,Näitlejad,1
instagram_data_united-kingdom.csv,instagram,united-kingdom,Romantika ja pulmad Kunst ja käsitöö Korvpall,1
instagram_data_united-arab-emirates.csv,instagram,united-arab-emirates,Jogos de Vídeo,1
instagram_data_united-arab-emirates.csv,instagram,united-arab-emirates,Beleza e Cuidados Pessoais Moda e Acessórios,1
instagram_data_united-arab-emirates.csv,instagram,united-arab-emirates,Beleza e Cuidados Pessoais Moda e Acessórios Educação de Produtos Modelagem,1
instagram_data_united-arab-emirates.csv,instagram,united-arab-emirates,Celebridade,1
instagram_data_brazil.csv,instagram,brazil,بازیگری و درام مد و لوازم جانبی مشهور بازیگران,1
instagram_data_brazil.csv,instagram,brazil,سرگرمی و موسیقی مجری تلویزیونی بازیگران موسیقی,1
instagram_data_brazil.csv,instagram,brazil,بازیگری و درام زندگی بازیگران,1
instagram_data_brazil.csv,instagram,brazil,خانواده زیبایی و مراقبت از خود سرگرمی و موسیقی مدلسازی,1
instagram_data_brazil.csv,instagram,brazil,هنر برنامه های تلویزیونی موسیقی بازیگران,1
instagram_data_brazil.csv,instagram,brazil,سرگرمی و موسیقی موسیقی زندگی خواننده,1
instagram_data_brazil.csv,instagram,brazil,سرگرمی و موسیقی بازیگری و درام اتومبیل مجری تلویزیونی,1
instagram_data_brazil.csv,instagram,brazil,سرگرمی و موسیقی هنرمند,1
instagram_data_brazil.csv,instagram,brazil,بازیگری و درام مشهور تجسم,1
instagram_data_brazil.csv,instagram,brazil,سرگرمی و موسیقی موسیقی خواننده ترانه سرا,1
tiktok_data_belgium.csv,tiktok,belgium,Bildung,1
instagram_data_united-arab-emirates.csv,instagram,united-arab-emirates,Blogueiro Criadores e Celebridades,1
instagram_data_brazil.csv,instagram,brazil,هنر مشهور زندگی بازیگران,1
instagram_data_brazil.csv,instagram,brazil,سرگرمی و موسیقی بازاریابی و تبلیغات,1
