rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,_platform,_month,_year
1,jypestraykids,Stray Kids,13.8M,6.4M,2.3M,50.2K,34.2K,tiktok,september,2022
2,khaby.lame,Khabane lame,149.2M,17.3M,2.3M,15.2K,8.7K,tiktok,september,2022
3,scarlettsspam2,scarlett,2.1M,17.9M,845.8K,53.9K,6.3K,tiktok,september,2022
4,addisonre,Addison Rae,88.7M,22M,906.6K,7.6K,26.2K,tiktok,september,2022
5,belindatok,Belinda,4.8M,14.2M,1.5M,14.5K,15.3K,tiktok,september,2022
6,onwardwanna,Wanna🥊,7.5M,12M,2M,20.4K,4.2K,tiktok,september,2022
7,therock,The Rock,55.4M,13.1M,1.5M,14.3K,11.9K,tiktok,september,2022
8,bizarrap,bzrp,5.8M,16.2M,2.7M,4.2K,6.9K,tiktok,september,2022
9,landonbarkerr,Landon Barker,3.8M,11.7M,1.2M,19.1K,15.2K,tiktok,september,2022
10,mrbeast,MrBeast,42.2M,13M,1.7M,17.2K,2.1K,tiktok,september,2022
11,charlidamelio,charli d’amelio,146.2M,15.2M,959.4K,20.8K,4.6K,tiktok,september,2022
12,amauryguichon,Amaury Guichon,14.5M,11.4M,1.5M,7.2K,11.8K,tiktok,september,2022
13,jetbentlee,Jet,3.9M,12.4M,2.2M,3.6K,6.6K,tiktok,september,2022
14,kervo.dolo,Kervo.dolo,10.3M,5.7M,1.3M,7.9K,27.6K,tiktok,september,2022
15,ttdramanews,TT Drama Layla,856.3K,6.1M,1.1M,16.6K,17.7K,tiktok,september,2022
16,mishayoung,Миша Городецкий 🇺🇦,4M,10.8M,680K,5.7K,22.5K,tiktok,september,2022
17,domelipa,domelipa,58.1M,10.4M,1.5M,9.1K,3.5K,tiktok,september,2022
18,kyliejenner,Kylie Jenner,47M,12.3M,1.9M,5.5K,2.6K,tiktok,september,2022
19,enhypen,enhypen,12.7M,4.3M,1.1M,24.8K,14.3K,tiktok,september,2022
20,kimberly.loaiza,Kimberly Loaiza,67.2M,8.8M,1.2M,12.1K,4.3K,tiktok,september,2022
21,ramonvitor,ramonvitor,8.7M,9.3M,1.9M,7.3K,2.4K,tiktok,september,2022
22,txt.bighitent,TOMORROW X TOGETHER,18.1M,3.8M,1.1M,27.4K,9.5K,tiktok,september,2022
23,emraynea,emraynea,1.1M,5.1M,1.4M,6.6K,13.5K,tiktok,september,2022
24,bp_tiktok,blackpinkofficial,31.2M,4.5M,839.6K,13.9K,22.2K,tiktok,september,2022
25,mtarek.official3,Mohamed Tarek - محمد طارق,1.3M,4.7M,864.2K,21.9K,8K,tiktok,september,2022
26,zeth,Zeth,13M,8.5M,1.7M,2.2K,6.2K,tiktok,september,2022
27,kurtsworld,Kurt Kunkle,1.3M,4.9M,685.9K,30.1K,3.3K,tiktok,september,2022
28,joshtgodfrey,Josh Godfrey,285.5K,6.4M,587.6K,12.8K,16.3K,tiktok,september,2022
29,justinflom,JustinFlom,6.1M,12.9M,789.2K,4.5K,6.2K,tiktok,september,2022
30,williesalim,WILLIE SALIM,15.5M,8.1M,589.2K,17.4K,5.4K,tiktok,september,2022
31,rosalia,La Rosalia,25.5M,14.2M,1.2M,3.3K,2.6K,tiktok,september,2022
32,birovr,Biro,3M,6.4M,760.9K,6.1K,14.3K,tiktok,september,2022
33,kiet.ac.quy,Kiệt Ắk Wỷ,3.3M,5.2M,842.2K,12.3K,8.5K,tiktok,september,2022
34,threedotcorey,corey,4.9M,6.3M,1.4M,2.9K,7.1K,tiktok,september,2022
35,iamferv,Fernanda,31.5M,6.6M,962.3K,10K,3.9K,tiktok,september,2022
36,winnermaxyt,WinnerMax,4.5M,13.8M,1M,1.8K,4.5K,tiktok,september,2022
37,devankey,Devan Key,8M,6.9M,976.2K,8.6K,3.7K,tiktok,september,2022
38,yunggravy,Yung Gravy 🍯,6.6M,9.5M,1.4M,3.5K,2.7K,tiktok,september,2022
39,siscakohl,Sisca Kohl,12.4M,9.2M,1.1M,6.2K,1.8K,tiktok,september,2022
40,lexibrookerivera,Lexi Rivera,23.2M,7.5M,992.5K,8.5K,1.8K,tiktok,september,2022
41,leith1423,Leithal,1.1M,7.9M,1.3M,3.8K,3.2K,tiktok,september,2022
42,imeyhou,Meyden,3M,9M,799.5K,8K,1.6K,tiktok,september,2022
43,b.blek,b.blek,2.6M,8M,616.7K,6.4K,7.4K,tiktok,september,2022
44,mc.pedrinhoofc,Mc Pedrinho,5M,8.2M,1.2M,5K,2K,tiktok,september,2022
45,jennmelon,Jenn Melon,2.2M,5.5M,1.4M,3.8K,4.9K,tiktok,september,2022
46,nilered,NileRed,10.3M,6M,1M,4.4K,6.3K,tiktok,september,2022
47,zhangxi_acupuntura,doctor Zhang Xi,2.9M,7M,378.5K,1.5K,22.5K,tiktok,september,2022
48,pongamoslo_a_prueba,Pongámoslo a Prueba,36.7M,9.3M,1.6M,2.3K,2K,tiktok,september,2022
49,itsmacdoogle,ItsMacDoogle,1.8M,3.9M,685.9K,10.1K,13K,tiktok,september,2022
50,jesusnalgas,jesus_nalgas,2.6M,5M,970.1K,6K,6K,tiktok,september,2022
51,notemmamarie,Em,493.9K,4.4M,775.2K,9.1K,6.7K,tiktok,september,2022
52,daniel.labelle,Daniel LaBelle,27M,5.2M,816.8K,3.8K,8.4K,tiktok,september,2022
53,conangray,conangray,6.4M,3.9M,1.1M,7K,4.9K,tiktok,september,2022
54,spencer_serafica,Xspencer,13.6M,5.2M,924.3K,5.9K,4K,tiktok,september,2022
55,musikyotogsj,うさっくま♡Movie,1.2M,4.3M,192K,1.8K,55.9K,tiktok,september,2022
56,ryanbakery,𝙍𝙮𝙖𝙣𝘽𝙖𝙠𝙚𝙧𝙮,2.9M,5.4M,548.2K,7.8K,7.7K,tiktok,september,2022
57,soyminisech,🐻🐻SECHITO🐻🐻,1.2M,6.5M,603.4K,2K,9.5K,tiktok,september,2022
58,katya.ross,Katya Ross,293.3K,2.8M,665.3K,5.7K,18.1K,tiktok,september,2022
59,vinnyguadagnino,vinnyguadagnino,3.1M,5.1M,629.3K,5.9K,7.2K,tiktok,september,2022
60,lelepons,Lele Pons,27.9M,12.2M,1M,1.5K,1.7K,tiktok,september,2022
61,mattsturniolo,Matt,3.2M,3.2M,812K,10.9K,4.6K,tiktok,september,2022
62,rayssabuq,Rayssa Buq,7.2M,4.3M,775.3K,7.9K,4.1K,tiktok,september,2022
63,charl1d4meli0,charlidamelio,64.6K,5.4M,804K,6.9K,1.7K,tiktok,september,2022
64,pkllipe,Pk,19M,4.8M,893.3K,3K,5.6K,tiktok,september,2022
65,selenagomez,Selena Gomez,43.2M,5.2M,804.9K,4.2K,4.5K,tiktok,september,2022
66,_.the.meme.hub._,RANDOM MEMES,2.3M,3.8M,787.7K,2.9K,9K,tiktok,september,2022
67,lexibrookerivera,Lexi Rivera,23.4M,7.6M,870.6K,3.1K,1.8K,tiktok,september,2022
68,bhadbhabie,bhadbhabie,6.3M,5.1M,899.5K,3K,4K,tiktok,september,2022
69,acpitos,acpitos on ig 📸,489.6K,5.7M,858.8K,3.5K,3.1K,tiktok,september,2022
70,sofiacarson,SofiaCarson,6.2M,5.7M,903.5K,3.2K,2.9K,tiktok,september,2022
71,youngswagonoriginal,YoungSwagon,4.9M,5.1M,752.5K,1.4K,6.7K,tiktok,september,2022
72,montpantoja,Montpantoja,35.7M,6.8M,1M,2.5K,1.9K,tiktok,september,2022
73,azzyland,Azzyland,4.6M,5.3M,774.2K,7K,462,tiktok,september,2022
74,soysuco,soysuco,12.5M,5.4M,570.5K,8.7K,1.1K,tiktok,september,2022
75,bellapoarch,Bella Poarch,91.4M,7.4M,677.3K,4.9K,1.1K,tiktok,september,2022
76,max7424453118,Max Taylor,2.8M,3.5M,572.6K,5.2K,9.5K,tiktok,september,2022
77,jordanemel,Jordan e Mel,10.2M,4.4M,436.1K,3K,12.2K,tiktok,september,2022
78,hannahstocking,Hannah Stocking,26.5M,7.8M,840.8K,1.6K,2.5K,tiktok,september,2022
79,_xochitl.gomez,Xóchitl Gómez,7.3M,7M,1.3M,26,2.9K,tiktok,september,2022
80,rubentuestaok,Ruben Tuesta,21.3M,5.5M,802.3K,1.6K,4.4K,tiktok,september,2022
81,charrliiieeee,Charlieee,5.1M,12M,470.2K,1.7K,2.9K,tiktok,september,2022
82,kallmekris,Kris HC,46.3M,5.4M,936.6K,3.4K,1.5K,tiktok,september,2022
83,dereklipp_,Derek Lipp,5.3M,3.1M,440.5K,2.5K,15.7K,tiktok,september,2022
84,jaxwritessongs,Jax,11.7M,4.1M,683.5K,5.4K,3.2K,tiktok,september,2022
85,calfreezy,Calfreezy,960.6K,6.5M,869.1K,1.7K,2.4K,tiktok,september,2022
86,loveofhuns,loveofhuns x,144.7K,3.5M,382.4K,8.3K,8.9K,tiktok,september,2022
87,lizzza,Liza Koshy,29.9M,4.9M,802.8K,2.2K,3.6K,tiktok,september,2022
88,victormelo,Victor Melo,21.9M,4.5M,736.7K,2.5K,4.2K,tiktok,september,2022
89,wisdm8,Wisdom Kaye,8.5M,4.6M,874.4K,3.5K,2K,tiktok,september,2022
90,qpark,Q Park,33.6M,5M,415.3K,3.9K,6.6K,tiktok,september,2022
91,_lilg4,LIL G,1.7M,4.4M,521.9K,5.5K,4K,tiktok,september,2022
92,dylanmulvaney,Dylan Mulvaney,7.3M,3.8M,730.8K,6.6K,1.2K,tiktok,september,2022
93,hafizmahamad,Hafiz Mahamad,1.1M,3M,325.1K,14.4K,7.5K,tiktok,september,2022
94,oficialmarcuseni,marcus_eni,4.5M,2.2M,198.6K,1.3K,46K,tiktok,september,2022
95,hola.margo,margo✨,4.1M,6.7M,868.1K,2.4K,1.2K,tiktok,september,2022
96,dhar.mann,Dhar Mann,14.3M,4.2M,528.1K,6.9K,2.4K,tiktok,september,2022
97,mementoe,Máté Méhész,3.6M,3.4M,588.5K,4.4K,5.8K,tiktok,september,2022
98,kaelimaee,kaeli mae,10.6M,5.5M,733.8K,1.5K,3.5K,tiktok,september,2022
99,paralympics,paralympics,2.5M,5.4M,467.8K,1.8K,6.3K,tiktok,september,2022
100,ynchq,Янчик,6.4M,4.9M,660.1K,2.7K,3.5K,tiktok,september,2022
101,connordewolfe,Connor DeWolfe,5.4M,3M,628.4K,1.6K,9K,tiktok,september,2022
102,awildani13,NgebisOnline,77.2K,3.7M,498.4K,5.9K,4.4K,tiktok,september,2022
103,paansih16,gustian_magrib,1.1M,2.9M,230.5K,1.2K,27.7K,tiktok,september,2022
104,otoha_danso,音羽-otoha-,1.5M,3.4M,268K,9.5K,11.2K,tiktok,september,2022
105,ivanlomelitv,Iván Lomeli Travel Blogger,44K,2.4M,188.1K,1.2K,39.6K,tiktok,september,2022
106,davidguetta,David Guetta,4.5M,4.4M,419.9K,4.1K,5.9K,tiktok,september,2022
107,quynh.aka,Quỳnh Aka ✅,1.9M,4.7M,333.2K,4.4K,7.3K,tiktok,september,2022
108,gianlucavacchi,Gianluca Vacchi,21.5M,7.7M,477.1K,2K,2.8K,tiktok,september,2022
109,ashhasacamera,ash,871.7K,3.4M,854.7K,4.1K,2K,tiktok,september,2022
110,abdelrhman_boda1,💎☝️ عہبدالہرحہمن_احہمد☝️💎,2.8M,8.1M,337.4K,1.3K,5.1K,tiktok,september,2022
111,garett__nolan,garett nolan,13.4M,4.2M,337.1K,2.4K,10K,tiktok,september,2022
112,sturniolo.triplets,Sturniolo’s,4M,2.8M,654.2K,7.6K,2K,tiktok,september,2022
113,juliano,juliano,9.9M,6.8M,625.2K,3K,1K,tiktok,september,2022
114,jwaltonnn,ᴊ⚡️,733.4K,1.6M,350.9K,27K,2.5K,tiktok,september,2022
115,zodiac.boyfriend,Zodiac Boyfriend🪐🔮,2.1M,2.7M,444.7K,5.2K,8.5K,tiktok,september,2022
116,litkillah,LIT killah🩸,2.4M,3.2M,428.3K,1.3K,10.6K,tiktok,september,2022
117,stickyboy69,stickyboy69,8.9M,1.9M,478.8K,14.6K,3.8K,tiktok,september,2022
118,shxtsngigs,ShxtsNGigs Podcast,4.9M,3.6M,603.1K,1.9K,5.6K,tiktok,september,2022
119,faeleamendoim,Fael Alegria e Isaac Amendoim,3.6M,5.5M,321.6K,1.3K,7.9K,tiktok,september,2022
120,thallyssonsb,Thallysson Borges,10.7M,3M,450.1K,3.8K,8.1K,tiktok,september,2022
121,saramohannad_,Sara,7.9M,4.5M,364.9K,6.3K,3.1K,tiktok,september,2022
122,miakhalifa,Mia K.,35.7M,5.4M,610.3K,2.5K,2.2K,tiktok,september,2022
123,qamar_altaey,𝑄𝐴𝑀𝐴𝑅,3.8M,3M,298.1K,7K,9.9K,tiktok,september,2022
124,sofyank96,Sofyank96,2.6M,4.5M,565.1K,2.5K,3.4K,tiktok,september,2022
125,kooovryt,kika,2.5M,2.9M,516.2K,4K,6K,tiktok,september,2022
126,leesiyoung38,이시영,17.4M,3.5M,658.8K,3.8K,2.8K,tiktok,september,2022
127,jdpantoja,JD Pantoja,30.5M,4.6M,751.9K,3.5K,799,tiktok,september,2022
128,billlnai,nai,8.7M,3.4M,934.2K,2.6K,1.9K,tiktok,september,2022
129,itssassagurl,Sassa Gurl,6.6M,3.5M,565.3K,3.1K,4.1K,tiktok,september,2022
130,bargain.bethany,bargainbethany,124.8K,2.2M,208.7K,1.8K,28.3K,tiktok,september,2022
131,terryreloaded,Terry Reloaded,6.5M,2.3M,508.7K,2.7K,8.7K,tiktok,september,2022
132,gordonramsayofficial,Gordon Ramsay,33.8M,6.4M,488.1K,2.2K,2.1K,tiktok,september,2022
